Elementary flow subcategory;Elementary flow name;Elementary flow category;Elementary flow UUID;Per elementary flow unit
unspecified air;4-AMINOBIPHENYL;Emission to air;7eaf20e8-6a3d-4058-a8dd-467105bf817a;kg
unspecified air;Diacetone alcohol;Emission to air;897dbe82-7cab-408d-bad5-4e7e7472ad52;kg
low population density, long-term;Diisopropylether;Emission to air;a294504b-72c9-4b7e-977b-a62400c209b9;kg
low population density;Lenacil;Emission to air;50799f25-b229-40b6-9787-2c0368b6877b;kg
unspecified air;Metazachlor;Emission to air;54913f6f-339b-4f95-a44f-b4bb1db4d1a3;kg
unspecified air;Methane, dibromo-;Emission to air;a6c6f2da-0694-443f-986c-916a30198266;kg
low population density;Pyrethrin;Emission to air;8ec1ab3c-b926-48f4-ba2b-ea15d649abb6;kg
low population density;2,4-DINITROPHENOL;Emission to air;7829f75c-c6c0-4891-ae7c-66c9f6e6cacd;kg
low population density;N-Bromoacetamide;Emission to air;fa47e330-a448-485c-8f5e-294a0c740711;kg
high population density;Pyrimethanil;Emission to air;96991d04-5b1f-4eac-a285-a6807d9842bc;kg
low population density;Ruthenium-103;Emission to air;22798ed2-c8bb-42d5-8d7c-8e3b14d3bc3e;kBq
lower stratosphere + upper troposphere;isobutane;Emission to air;97a9ccde-1289-44d6-89de-b59a23426a14;kg
high population density;Butadiene;Emission to air;e7140812-ce3d-49f5-97b0-2fef538217a5;kg
unspecified air;2,4,5-T;Emission to air;f1d020e1-83bf-4b92-a06d-b39de7d27371;kg
high population density;Metazachlor;Emission to air;e2126176-a1aa-4ccc-8de5-81f4c4125be1;kg
low population density;Methidathion;Emission to air;4e615b0f-590f-40ba-b5a5-c0caf3506473;kg
unspecified air;melamine;Emission to air;54bad9ac-30e5-4376-93db-a41cd3327ee3;kg
low population density, long-term;resmethrin;Emission to air;dc7d57ed-a94f-4c5d-8e01-7319b89c5b7a;kg
high population density;Ethane, 1,2-dichloro-;Emission to air;468bebea-17ee-49d3-b11d-c603d91c67c8;kg
lower stratosphere + upper troposphere;Cyfluthrin;Emission to air;9ae8d3f7-bfb0-4abe-aba9-1e9a4e293767;kg
lower stratosphere + upper troposphere;3-Pentanol;Emission to air;8f3094bc-90d1-45e9-8480-957a798a48ca;kg
low population density;Methane, difluoro-, HFC-32;Emission to air;8fbe2c56-c213-4501-b95e-ff57a76fbd6f;kg
high population density;PFC-9-1-18;Emission to air;9c74094a-5c4c-46a8-8a7d-ba9d62fcdc60;kg
unspecified air;N-Nitrosomethylvinylamine;Emission to air;cb1dc124-f678-45e2-b0f4-dcf52803b598;kg
unspecified air;Isophorone;Emission to air;e7e71a5e-e401-4c99-9552-33f837d361a7;kg
high population density;Ethane, 1,1-dichloro-;Emission to air;aa4e4c4e-a27f-4638-b1f4-95172273739c;kg
unspecified air;cyclohexylamine;Emission to air;e1f26b6b-c1eb-44de-8a0f-7aa6e6229375;kg
high population density;lithium;Emission to air;324c8002-da6c-4b87-a8fe-d44e2d9b30ad;kg
unspecified air;Hydrocyanic acid;Emission to air;0125d40c-b7e8-4f98-a5ac-09115efeb568;kg
high population density;Hexachlorophene;Emission to air;102f682d-1a3e-49f6-97fd-2b1de3a72087;kg
low population density;p-Chloroaniline.HCl;Emission to air;b3546c22-55d9-49e1-a2e1-5a6b63f36c86;kg
unspecified air;Phosmet;Emission to air;09d136a2-37a2-4907-9486-46453d07b2de;kg
low population density, long-term;Methane, chlorodifluoro-, HCFC-22;Emission to air;9b505d7c-4239-40e0-9dbe-55d38f3b85b3;kg
low population density, long-term;Radon-222;Emission to air;4ac6979b-55f2-42ae-8d7e-37846e92506c;kBq
low population density, long-term;Acrylic acid;Emission to air;10bb4bbd-818f-4dd1-a5bd-5105c43bc32f;kg
low population density, long-term;Carbetamide;Emission to air;79942ffd-249d-49ac-a248-5f7d7f76cc84;kg
low population density, long-term;1,2-DICHLOROETHYLENE;Emission to air;ae87feff-d7d0-4b85-aa18-200e9372fa2b;kg
unspecified air;Piperonyl butoxide;Emission to air;18b13970-1e4f-4455-bf5e-ac7768c0ba01;kg
high population density;Pentane, perfluoro-;Emission to air;3e6d1fe1-3785-4a38-8a28-448ba6313649;kg
unspecified air;Iodine-135;Emission to air;a18a3afb-9456-4b80-bafb-78be060c90dc;kBq
high population density;Thiobencarb;Emission to air;d3a73b21-6e51-4e09-8bec-c519312d9689;kg
lower stratosphere + upper troposphere;Butane, 1,1,1,3,3-pentafluoro-, HFC-365mfc;Emission to air;513d8813-c348-4b90-ae15-00284405bbe6;kg
low population density, long-term;butylate;Emission to air;48c4f595-89a2-4f50-8fb6-a470b6498ac6;kg
unspecified air;Ethene, bromo-;Emission to air;05a6ec27-ca73-4f16-a672-bab055d1d472;kg
low population density;Caprolactam;Emission to air;51f05323-a701-43e3-bec4-9136dfc111ec;kg
high population density;Butyl acetate;Emission to air;d1f63fd8-b099-4a82-a575-bd4182f7f9f1;kg
unspecified air;Epoxiconazole;Emission to air;10e62589-0551-491a-8f7b-5c1ed357643e;kg
low population density, long-term;Methane, tetrafluoro-, R-14;Emission to air;e59a199f-d4ed-4d43-82b1-71c4a8fae867;kg
low population density;Dinitrogen monoxide;Emission to air;afd6d670-bbb0-4625-9730-04088a5b035e;kg
high population density;Butane;Emission to air;892f10da-7bf2-42b3-b171-221989661a05;kg
high population density;Cupferron;Emission to air;55210aed-5c17-4e46-ae20-928b97740b1f;kg
low population density, long-term;MCPA;Emission to air;60d81698-a001-4736-becb-1c2f424eebda;kg
low population density;Krypton-88;Emission to air;56ce80e5-9a77-4a80-ad65-6208db560be5;kBq
unspecified air;Phosphorus pentoxide;Emission to air;53e9cd40-041a-49f1-aa70-a183caad0f37;kg
unspecified air;Gibberellic acid;Emission to air;a0ca3b43-38ed-4311-8372-a7af6939bbfa;kg
lower stratosphere + upper troposphere;isopropyl acetate;Emission to air;ad61a130-d1d5-49c0-a328-94bfd3af8ba8;kg
unspecified air;Benzo(a)pyrene;Emission to air;5e13c2ab-5466-4ff5-816d-702dfdf25f76;kg
lower stratosphere + upper troposphere;Curium alpha;Emission to air;90c20168-5796-42f8-a305-c181b38ec1d4;kBq
unspecified air;Methamidophos;Emission to air;66988f9f-0586-4a25-9129-a9bdc2a22bd3;kg
low population density;Benzal chloride;Emission to air;1b4810ed-4537-4cca-83ef-5af8a04668a7;kg
high population density;Methyl tert-butylketone;Emission to air;9b291a20-fd7f-43f3-b27a-ccea2039d690;kg
lower stratosphere + upper troposphere;Phenol, 2,4-dichloro;Emission to air;919aa517-c05d-4bcc-9070-422b8e16d9a9;kg
lower stratosphere + upper troposphere;Aldoxycarb;Emission to air;07670ad9-dbbf-4db0-9ccc-59c6608f81c9;kg
low population density;Boron;Emission to air;512364ac-5bba-4b77-8712-981247617519;kg
low population density, long-term;Vinclozolin;Emission to air;4f4d961f-a971-4bb4-b63d-867b03446a09;kg
low population density;Propane, dichloropentafluoro-;Emission to air;5c11db9e-c942-4618-986c-7149f160ad9c;kg
high population density;Sulfuric acid;Emission to air;7ecc2b66-8dde-4266-8832-f492f564377b;kg
low population density;HFE-43-10pccc124 (H-Galden1040x);Emission to air;c18bbf15-75f2-4e46-ba02-b265afacb96e;kg
lower stratosphere + upper troposphere;Radon-220;Emission to air;7a2d5b3a-aac7-4a82-a990-0f4e1501db0b;kBq
low population density;Fenamiphos;Emission to air;1c54f88f-db01-4d1a-8d36-c423efa0b8a8;kg
low population density;S-Metolachlor;Emission to air;453e3a57-fc8f-41ba-bc19-7bf6deb283ed;kg
lower stratosphere + upper troposphere;Fentin hydroxide;Emission to air;9eb24853-62d8-4d6f-a1ef-9dded32b0b2e;kg
lower stratosphere + upper troposphere;Sulfentrazone;Emission to air;5608f97f-878b-498d-a512-96eb028dcd2b;kg
unspecified air;Propaquizafop;Emission to air;c63c7ec1-7dfd-4945-b313-2d970a986af7;kg
unspecified air;Zinc oxide;Emission to air;4d9a8790-3ddd-11dd-9448-0050c2490048;kg
lower stratosphere + upper troposphere;Phorate;Emission to air;3f9aa99a-965a-446c-98e6-170aaf3b00c9;kg
unspecified air;Heat, waste;Emission to air;f2d84834-d0b3-42e5-b41a-f04cc80337a4;MJ
low population density;Chlormequat chloride;Emission to air;a2b1f36e-17ea-4cd7-828b-3735b0bae8f0;kg
unspecified air;Methyl pentane;Emission to air;ce142d34-8ba9-47aa-a497-8742a2e4a547;kg
low population density;Pyrimethanil;Emission to air;8adff08e-fae0-443b-8e6b-3e2b045d9f9b;kg
unspecified air;Toxaphene;Emission to air;390231df-eb0a-4fa4-9f4f-f00d69ec73f7;kg
low population density, long-term;fonofos;Emission to air;21cf39ed-5b83-4e7b-bf94-a9bf5c799290;kg
unspecified air;Chromium-51;Emission to air;b7802a4d-3a51-4449-9e1f-39fc663cc646;kBq
low population density;Sodium hypochlorite;Emission to air;d01548e0-7a82-4e53-b958-ee630c6bca72;kg
unspecified air;Phenol, chloro-;Emission to air;82f6b1ac-49d3-42cc-a871-7b4af255bdb1;kg
high population density;Lead;Emission to air;6a903634-c97f-4c49-a7c0-88f0e6ac7a23;kg
unspecified air;2,2,4-trimethylpentane;Emission to air;08a91e70-3ddc-11dd-994b-0050c2490048;kg
unspecified air;Harpin protein;Emission to air;3f72a8ad-15f7-4708-8e0b-4340b16b06cd;kg
unspecified air;Butane;Emission to air;982b0510-96ac-4bcb-a758-e98006b95f4d;kg
low population density;Ethene, tetrachloro-;Emission to air;754028fd-e650-4804-922e-694a764ba578;kg
unspecified air;hexachloro-1,3-butadiene;Emission to air;8c20bd23-2f07-4b3a-9444-ec8675f1e245;kg
low population density, long-term;m-Xylene;Emission to air;62bd2ced-16de-43c2-88e1-adfae242654e;kg
high population density;Boron trichloride;Emission to air;44086a5d-8ba5-425d-9b6d-dc9f0b3ecd87;kg
high population density;3-Iodo-2-propynyl butylcarbamate;Emission to air;ee0a8715-1bdb-47e9-9cb0-cb8b7e5d0ea6;kg
unspecified air;PENTACHLOROANISOLE;Emission to air;492e8037-2b6b-4dbe-8776-237d9ee69272;kg
low population density;Thiram;Emission to air;325568be-f09e-4f7e-8638-47f2d3639a6e;kg
unspecified air;Sulfprofos;Emission to air;ffa654fe-cc8a-4630-86d1-8c7fc59d7c6a;kg
unspecified air;2-Mercaptobenzothiazole;Emission to air;d86c4609-7d8c-403e-88e2-014eb931cabc;kg
high population density;Acetic acid, trifluoro-;Emission to air;f38210d0-4566-4497-b270-662028efc0c6;kg
lower stratosphere + upper troposphere;Dibenz(a,h)anthracene;Emission to air;d05a8fe4-57b2-4591-a20b-a0c2e5772a7e;kg
unspecified air;Imazethapyr;Emission to air;28d0a530-18a4-4113-bf8b-180bb315c384;kg
low population density, long-term;Thorium-234;Emission to air;b6667f21-da3c-41f1-afad-9277cdd4e08e;kBq
high population density;Pronamide;Emission to air;5e453597-8633-4b77-b015-451ce79cd4ea;kg
unspecified air;Hydrogen bromide;Emission to air;fe0acd60-3ddc-11dd-aaaa-0050c2490048;kg
high population density;Terbuthylazin;Emission to air;bff47f25-a4e0-48ec-83fc-b3861c1fca48;kg
unspecified air;Benzal chloride;Emission to air;a65f4744-f555-44cb-8534-aa5adc72d7a7;kg
high population density;3-Methyl-1-butanol;Emission to air;c6310f81-3859-4c5c-990a-4662ba179693;kg
low population density;Propanal;Emission to air;963be8ca-e43d-4f8d-a97b-d8982035ffbc;kg
unspecified air;Butane, 1,1,1,3,3-pentafluoro-, HFC-365mfc;Emission to air;1f1f7a46-29ea-427c-b986-41c77049897c;kg
low population density, long-term;Methane, fluoro-, HFC-41;Emission to air;27044929-bd90-4bee-9c6d-1f36aa12ec95;kg
unspecified air;Imidacloprid;Emission to air;bb0c6b3d-ec07-4ebc-bc8f-c385d42a7e2f;kg
unspecified air;Copper chloride oxide, hydrate;Emission to air;53d0fe33-126a-4d10-a655-8b5626030fea;kg
lower stratosphere + upper troposphere;Cyproconazole;Emission to air;5f4f3497-7685-4b52-a1f6-0f3559bed270;kg
high population density;Methane, chloro-fluoro-, HCFC-31;Emission to air;5fa05c4f-8766-41ff-9dd1-fa47c0b7ea48;kg
low population density, long-term;Nonane;Emission to air;3d68daf9-95a2-4eb1-adef-a8ad86b72bf7;kg
lower stratosphere + upper troposphere;2-Hexanone;Emission to air;f5909dac-f3da-44a5-8890-0d2a36500e17;kg
unspecified air;Chlorpyrifos;Emission to air;52bcecc5-6400-4936-bf4c-adb64004520d;kg
high population density;Acetic acid;Emission to air;b9b68c0c-053e-41de-ab72-8dfe1c3f5755;kg
low population density, long-term;Methyl propyl Ketone;Emission to air;79715be1-2d6e-4359-b5e9-638cc7272b52;kg
high population density;1-Octanol;Emission to air;b4de3382-8ae6-452e-8a4e-a7910baf6856;kg
low population density;Chloroform;Emission to air;fa9b9736-6de8-4bd6-ba22-1bd78c798373;kg
low population density, long-term;Cobalt-57;Emission to air;1f37ae35-463b-476c-9cde-d3e049fa7680;kBq
low population density;Toluenes, Diamino-, unspecified;Emission to air;3c018fb9-41e8-421a-858e-9e6bb7a6bd0a;kg
high population density;4-NITROPHENOL;Emission to air;bd99ed8d-2698-4d11-b928-959fc53627be;kg
low population density;Mepiquat chloride;Emission to air;75251716-2ab9-40f3-82cd-2c7c6dc78696;kg
low population density, long-term;Methanol;Emission to air;d482b568-0604-4433-87b2-1340f7a17512;kg
low population density;Calcium  hydroxide;Emission to air;b605b6eb-8760-4142-b741-2844b00ccbb1;kg
low population density, long-term;1-Pentanol;Emission to air;9dd01d5b-3677-4822-9cd4-36d21b0e23d1;kg
unspecified air;Profenofos;Emission to air;c6d3b3d5-574a-4f45-9800-9be2bcc86cb8;kg
low population density, long-term;Acifluorfen;Emission to air;f4443c4a-a7a8-41d6-af73-6b9181513598;kg
low population density;Benzidine, 3,3'-dimethoxy-, dihydrochloride;Emission to air;6bda1e1c-be32-42c1-9f5e-e68213f0f270;kg
low population density;Ametryn;Emission to air;05ddc76e-0585-409c-9eb9-151c2a08078c;kg
high population density;Silver-110;Emission to air;c8dd5128-8a14-41c8-abab-7112ce115f94;kBq
unspecified air;Acrolein;Emission to air;d896ced7-a107-4017-b284-d95a8ef3e735;kg
high population density;Hexamethylene diamine;Emission to air;9c9c4350-039d-427c-a508-2b34e01a5657;kg
lower stratosphere + upper troposphere;2-Methyl pentane;Emission to air;a9afc2a9-9479-44b6-afcf-23f305bb261c;kg
low population density;Iprodion;Emission to air;69dcab28-9bad-4c2c-9d21-cb3706932b21;kg
lower stratosphere + upper troposphere;Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245cb2;Emission to air;c5c6e62a-41f0-4f95-9f7f-a8e53d40b734;kg
low population density;Phosphate;Emission to air;a690e3b9-ee6f-4430-a051-99481422c9ea;kg
lower stratosphere + upper troposphere;2,4/2,6-toluenediisocyanate (mixture);Emission to air;6f30aa08-2cef-442a-912b-149227338cad;kg
low population density;Nitrogen monoxide;Emission to air;fe02b51d-7a59-4015-ba12-d32da63ac7d9;kg
high population density;Diethyl sulfate;Emission to air;b91df3a0-74a5-4eff-9405-b7f0cd2e1a95;kg
unspecified air;Ethane, 1,1,2-trichloro-;Emission to air;b32061b1-8d24-4663-b10d-0a1c705f2937;kg
low population density;Tributyltin methacrylate;Emission to air;5ac8bcbd-e81a-4b81-b620-2bfbc64aa8d5;kg
unspecified air;tridecane;Emission to air;4d9a8790-3ddd-11dd-8eba-0050c2490048;kg
low population density;Aldoxycarb;Emission to air;f10b9343-fa9e-4ef3-812a-d65139400d34;kg
high population density;Butyraldehyde;Emission to air;2c794876-ed2d-4d55-ace5-ffbd8d1f092d;kg
lower stratosphere + upper troposphere;Fenbutatin oxide;Emission to air;e16813ce-28ac-40a7-9c06-dc847a114568;kg
low population density, long-term;sodium dimethyldithiocarbamate;Emission to air;0d6b6f92-5091-46fe-91eb-0de13c0e2419;kg
unspecified air;Busan 881;Emission to air;fde32b7d-4cd5-41dd-be16-edcce78a61b2;kg
low population density, long-term;Tributyltin-oxide;Emission to air;d1b7e0ac-fc79-4bdd-a03f-7bfd08c7d542;kg
unspecified air;Aromatics, unspecified;Emission to air;7ae371a5-8532-11e0-9d78-0800200c9a66;kg
low population density;Particulates, < 10 um;Emission to air;d42f8d08-08f6-42ef-ae04-dc2025462880;kg
unspecified air;NITROFEN;Emission to air;0e1560cf-7b3d-443b-b77d-0425f95d9142;kg
low population density, long-term;Metiram;Emission to air;119fa4bd-af0b-4a47-974e-a73806cd391c;kg
low population density;Methane, bromo-, Halon 1001;Emission to air;701cda28-4722-431c-b52f-05a735ef5ed3;kg
lower stratosphere + upper troposphere;N-Bromoacetamide;Emission to air;bbff44a2-cd6d-4200-98c7-e4f772fd24c5;kg
low population density;resmethrin;Emission to air;2df374c4-4dce-47fd-8502-02aaf2a09352;kg
low population density, long-term;Phosmet;Emission to air;5422ec47-3893-421a-b357-82748adfdb0c;kg
high population density;EPTC;Emission to air;498a5657-d87f-4da2-a97a-ea1ca9393472;kg
lower stratosphere + upper troposphere;Tellurium-123m;Emission to air;6402a177-ff01-4112-8c54-9061b756c8c9;kBq
high population density;Metalaxyl-M;Emission to air;f25c3d12-b442-4afc-9b1b-9f288e66e0ef;kg
unspecified air;Alpha-cypermethrin;Emission to air;8221840e-0526-4238-a1d9-f69833697670;kg
low population density, long-term;trans-1,2-Dichloroethylene;Emission to air;4d157ecb-f1fe-441f-b169-c10e47703353;kg
lower stratosphere + upper troposphere;Ether, difluoromethyl 2,2,2-trifluoroethyl-, HFE-245fa2;Emission to air;bb84fe35-f468-4c3b-88de-bbfd812c7fc0;kg
unspecified air;1-Chloropropene;Emission to air;13737878-c32a-4e69-97f5-60af01ffacd5;kg
unspecified air;Chrysene, 5-methyl-;Emission to air;4ee2efad-e710-483a-a9ca-b02dd41293bf;kg
high population density;DIETHANOLAMINE;Emission to air;9c9b22b6-13b7-41de-8030-0eaa4e803ca2;kg
high population density;Hydrocarbons, aliphatic, alkanes, chlorinated;Emission to air;fc415f33-5131-438c-830c-0f6089d3dada;kg
high population density;Phosphine;Emission to air;fba3ef86-de65-4079-868d-8b6438d46092;kg
unspecified air;Deltamethrin;Emission to air;ba0955c6-7f71-4f48-b6dc-190dae2239e9;kg
lower stratosphere + upper troposphere;Curium-244;Emission to air;f78de285-5fdc-4d33-92bb-d2ecea2b8641;kBq
low population density;Metsulfuron-methyl;Emission to air;bc25986a-f3dd-4f4e-8a40-9e2da87c1761;kg
low population density, long-term;Barium-140;Emission to air;cb7d14ab-f2f3-4dff-83a6-8803f7018301;kBq
low population density, long-term;diphenamid;Emission to air;ff9bb4f1-69f3-4822-916f-cc5f20584596;kg
unspecified air;HFE-263fb2;Emission to air;2083e917-8e4b-4501-a692-04444ef4f568;kg
low population density;PFPMIE;Emission to air;0672d2f6-109b-485b-bedd-42b743dbddec;kg
high population density;Captan;Emission to air;42d6798e-87c5-4dc3-9b38-7ec2d85c1936;kg
lower stratosphere + upper troposphere;CHLOROMETHYL METHYL ETHER;Emission to air;c60d34db-36eb-47ef-a98b-c1986d39229a;kg
unspecified air;DIETHANOLAMINE;Emission to air;9ef6b235-9a68-4422-97c4-dd26fb70ff59;kg
lower stratosphere + upper troposphere;2-Methyl-2-butene;Emission to air;f9501098-4a8e-4cd1-98b7-00afbac477a4;kg
lower stratosphere + upper troposphere;o-Toluidine.HCl;Emission to air;78399bf1-bb6b-4375-ba90-6298325f48da;kg
unspecified air;Nicosulfuron;Emission to air;884bc44d-3be5-4c9e-aa7f-3c36c53cdf26;kg
low population density, long-term;Ether, 1,1,2,2-Tetrafluoroethyl methyl-, HFE-254cb2;Emission to air;f99a2ee5-8e0c-4e3f-91da-d63ca65beb44;kg
high population density;Methane, trichlorofluoro-, CFC-11;Emission to air;33a69662-583b-45b8-8cb9-94f59fca9133;kg
low population density, long-term;Carbendazim;Emission to air;01b56e69-8b28-464f-9ffc-2af233f1a0c6;kg
lower stratosphere + upper troposphere;Methane, bromochlorodifluoro-, Halon 1211;Emission to air;50f528ca-45e7-42d0-b399-998ea63ddabf;kg
high population density;Saccharin;Emission to air;733d2841-b9e6-45a8-b3f8-a8edf6ab7131;kg
low population density;Linuron;Emission to air;63e7d74f-8549-11e0-9d78-0800200c9a66;kg
low population density, long-term;Metalaxyl-M;Emission to air;40f20171-eb6f-4f58-821f-b0ce55f8c14f;kg
high population density;isobutene;Emission to air;65eaa306-0133-48d8-bdd1-26dc5d836d8b;kg
high population density;Ethane, 1,1,1-trichloro-, HCFC-140;Emission to air;818cee9e-231c-4b53-8ed2-47a0001802d5;kg
high population density;Propane, 1,2,3-trichloro-;Emission to air;2048a6fe-d31f-4d6f-b6ae-0e4c1cec630d;kg
lower stratosphere + upper troposphere;Hydrazine, methyl;Emission to air;af4b1241-fccd-433d-bc2e-24ffef7d6c4c;kg
low population density;Pirimiphos-methyl;Emission to air;e9c892cb-0924-4dbf-b15d-4711512da1fb;kg
low population density, long-term;Ruthenium-103;Emission to air;08a570d6-99a9-477b-8099-77fc2a8afafa;kBq
high population density;Carbon, organic bound;Emission to air;6cf31d03-c6c7-4a8f-9abb-31e89c7d1804;kg
high population density;Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;Emission to air;fa0c2bee-8dd9-4f8a-8489-b1f3b43de958;kg
lower stratosphere + upper troposphere;Selenium;Emission to air;fbfabc26-84d9-46cd-9d1b-1a0060325b64;kg
unspecified air;Acephate;Emission to air;94ab24d4-0121-45c4-84ad-90d715118a06;kg
low population density;Sulphur trioxide;Emission to air;48430c70-95e0-4036-9854-72cc772ac8b2;kg
low population density;Tribenuron-methyl;Emission to air;45febb88-3dc9-4804-8930-6352a2509851;kg
unspecified air;Acenaphthene;Emission to air;1f4afa32-a9a2-40da-8396-104452cb637f;kg
low population density;Hydrocarbons, aromatic;Emission to air;c67be924-e68d-4bc1-9dd9-25f33a6cad34;kg
low population density;Dicofol;Emission to air;d45e045c-2af1-4ac3-9667-4eb00e9c0630;kg
low population density;Nitrogen dioxide;Emission to air;003697f1-54e9-409e-8179-23a95e99e4d7;kg
lower stratosphere + upper troposphere;Benzoyl chloride;Emission to air;d50a2923-ad5a-4f75-a575-b4f7a2af8b5d;kg
low population density, long-term;Bendiocarb;Emission to air;6028bc02-c98c-4868-b20c-1fdc2aa34850;kg
low population density;Bromoxynil;Emission to air;63e7892f-8549-11e0-9d78-0800200c9a66;kg
low population density;Butyrolactone;Emission to air;e8ee3fc4-2890-4d6a-a1df-40c4b48d698b;kg
lower stratosphere + upper troposphere;EPTC;Emission to air;d94314a5-c90b-47a9-8032-059744723409;kg
low population density, long-term;Xenon-138;Emission to air;b3246e33-004e-4eb8-98fa-0729b62b6aca;kBq
low population density, long-term;Propoxur;Emission to air;50083ef1-a348-47f8-b8f3-b0b12ca16f93;kg
low population density, long-term;Antimony;Emission to air;fa39136e-1ef6-43c1-af68-104da104568d;kg
high population density;Norflurazon;Emission to air;4ad73eee-e188-450d-be98-11c26bc76d7c;kg
low population density;m-Xylene;Emission to air;d24f41d7-279e-4f5a-9ac9-00f726dc3bcc;kg
unspecified air;Water, SI;Emission to air;e1719985-12b1-3983-8b2b-4a76a7d7e71e;kg
unspecified air;Zinc compounds;Emission to air;7ae3bfc8-8532-11e0-9d78-0800200c9a66;kg
low population density;Cyromazine;Emission to air;34a9d5f9-46ad-4667-ae30-8ec1b045fcc2;kg
unspecified air;Biphenyl, 4-nitro-;Emission to air;e3b91d22-0399-43f0-93f9-ee508668dc9e;kg
low population density, long-term;Naled;Emission to air;d1e8d94f-0e20-4078-b9bc-640a6445187c;kg
low population density;Sulfuric acid;Emission to air;5c9d8310-f7e1-4e98-8e73-7eece0435676;kg
low population density, long-term;Niobium-95;Emission to air;8e98345c-5524-473d-9b23-437ac336f21a;kBq
unspecified air;Cadmium oxide;Emission to air;1f64fca3-9e41-3dae-84de-403289750427;kg
lower stratosphere + upper troposphere;Malathion;Emission to air;01d3db13-7970-4d67-acb9-a89d69523403;kg
unspecified air;Silver;Emission to air;ebb88ef4-50ab-4e3b-9251-c5fcdf6b4768;kg
lower stratosphere + upper troposphere;Tefluthrin;Emission to air;0c362073-50a4-4ebc-bce3-9f6d6919adac;kg
low population density;Diethylene glycol;Emission to air;e1cc645c-9d74-40ff-a4b0-b0591d8717e5;kg
unspecified air;Dioxin, 1,2,3,7,8,9-hexachlorodibenzo-;Emission to air;2e3d21bd-3a41-4224-ac60-0bd224fc1299;kg
high population density;Ethane, 1-chloro-1,1-difluoro-, HCFC-142b;Emission to air;400be66e-4383-482a-93e3-c005e96de261;kg
low population density, long-term;Clopyralid;Emission to air;91186943-cc7e-4d08-8423-20f797fa2206;kg
unspecified air;SAFROLE;Emission to air;1e0c2f4d-cc6d-46d3-a194-f1cf92dc1f87;kg
low population density, long-term;Carbon dioxide, land transformation;Emission to air;e1c597cc-14cb-4ebb-af07-7a93a5b77d34;kg
high population density;ISODRIN;Emission to air;61cdc660-7d3f-4281-9285-423485778998;kg
low population density;Ethane, 1,1,1-trifluoro-, HFC-143a;Emission to air;5253e322-7de5-42aa-9167-daf22ff44031;kg
unspecified air;Ethane, 1,1,1-trichloro-, HCFC-140;Emission to air;ce6294f5-2ed7-46ee-a967-33e265e34455;kg
low population density;SAFROLE;Emission to air;d26f1d6e-3f5a-4cde-a4c1-6a5060b1e99b;kg
lower stratosphere + upper troposphere;Cyclohexanone;Emission to air;abe41fdc-444c-4e96-8cff-6dabbcbf745e;kg
low population density, long-term;Glutaraldehyde;Emission to air;69141bf3-72ce-46ad-9bd8-4d165befaf88;kg
low population density, long-term;Esfenvalerate;Emission to air;733feb51-cc32-449b-862e-17cf445be5ff;kg
high population density;2,2-Dimethylbutane;Emission to air;44e94c04-1272-4921-b810-fcda24b69ed7;kg
high population density;Iodine-129;Emission to air;05bd7a83-0c53-4e95-b1eb-1140742f4176;kBq
low population density, long-term;Tungsten;Emission to air;714958de-a211-4a3c-8dce-848ccb79b094;kg
unspecified air;propargyl alcohol;Emission to air;2894edf4-1a07-4bcf-995e-7903a19b34f2;kg
lower stratosphere + upper troposphere;Methyl acetate;Emission to air;435b0dec-6a6a-4f44-8fa4-0988332459f5;kg
high population density;sodium azide;Emission to air;75a8666c-bb7d-48ce-83eb-48e7f0424672;kg
lower stratosphere + upper troposphere;Myclobutanil;Emission to air;473a2f15-9f7d-4788-8fab-eb34c0ae0d91;kg
low population density;Sulfprofos;Emission to air;2bad9303-1b7c-488f-9677-9cf03dd077f3;kg
unspecified air;Fipronil;Emission to air;43c4c6d3-a138-4ca5-bef9-e50fa133a333;kg
low population density, long-term;Permethrin;Emission to air;ba5269dc-5a1f-4fe5-bd49-9601b27b1098;kg
low population density;Cypermethrin;Emission to air;a57333ad-c035-4c1a-808c-0a95f236a411;kg
lower stratosphere + upper troposphere;Acetic acid;Emission to air;f53378fe-3e04-4f74-9a08-bea2a6332b67;kg
low population density;Flusilazole;Emission to air;eaa161d6-e3a9-415d-bbc3-8554806dd934;kg
high population density;Ethyl cellulose;Emission to air;6bd1ea0d-0fbb-46cd-a6b4-e699febbf4e8;kg
low population density;Abamectin;Emission to air;9d831936-4573-4773-9199-0dc37539a773;kg
unspecified air;Cyclohexanol;Emission to air;d9062eef-8b87-4ff3-af36-80527ee36be9;kg
low population density;Starane;Emission to air;6af34711-267e-4393-88bb-aab36f29cea8;kg
unspecified air;Plutonium-alpha;Emission to air;3ef6e30a-9742-48c8-adcd-48e38148004c;kBq
low population density;Antimony-125;Emission to air;51f80fcc-8eb0-4912-afbd-e9b9861e45a4;kBq
unspecified air;Isodecanol;Emission to air;e5c52d4e-85d0-4505-80a2-e89edb0b3793;kg
low population density, long-term;Propaquizafop;Emission to air;91850212-a43e-4cff-a316-ecf593361e2c;kg
lower stratosphere + upper troposphere;PYRIDINE;Emission to air;c611579a-1832-4128-8e0b-16d71bb577d8;kg
