categories;type;exchanges;name;unit;code;database 
('soil', 'agricultural');emission;[];Cypermethrin;kilogram;e7f1df40-788a-4403-81ea-e5e9e84e32d7;biosphere3
('water', 'ground-');emission;[];BOD5, Biological Oxygen Demand;kilogram;57c27ba7-a61a-4932-8cd5-095c88ff0245;biosphere3
('air', 'urban air close to ground');emission;[];Sulfur hexafluoride;kilogram;856c9aa2-c20c-49a8-9417-c71bdb5f17b0;biosphere3
('water', 'ocean');emission;[];Isopropylamine;kilogram;aab8f6d7-c672-425c-8637-1f1e1402a1db;biosphere3
('air', 'non-urban air or from high stacks');emission;[];MCPB;kilogram;0e20b8fa-3f9a-41f2-b9aa-2b4e32c62264;biosphere3
('air', 'urban air close to ground');emission;[];Ethane thiol;kilogram;b3d98733-ae64-474b-b68d-ba681c24c32d;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Butane;kilogram;66ff5d22-17e2-4112-b486-3ea4e0191fba;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Cobalt-60;kilo Becquerel;b4024357-ed17-4b19-9382-91815e67f62b;biosphere3
('water',);emission;[];Sodium-24;kilo Becquerel;5842fca1-f1ce-41c7-9191-ff0860343f7e;biosphere3
('soil', 'agricultural');emission;[];Thiophanat-methyl;kilogram;423112a9-b4c4-4041-8854-57bffde7b9cc;biosphere3
('water', 'ground-, long-term');emission;[];Cadmium-109;kilo Becquerel;5e07e604-b797-4718-9dc3-be6f4f3319e4;biosphere3
('air',);emission;[];Cerium-141;kilo Becquerel;c9e7bf95-483c-469c-8d21-9012f926b3b0;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Benzaldehyde;kilogram;2813518d-c4a8-4a8d-9542-f1882ec27c1c;biosphere3
('air', 'urban air close to ground');emission;[];Phosphoric acid;kilogram;5d0058e0-ad1b-4c15-b0ff-a665bb04154f;biosphere3
('water', 'ocean');emission;[];Americium-241;kilo Becquerel;58a92690-aa80-4d3c-9443-9b48daa2daa4;biosphere3
('water', 'ocean');emission;[];Phenol;kilogram;a3436836-e2fe-4c30-b9a7-0098b489374f;biosphere3
('natural resource', 'in ground');natural resource;[];Chromium, 25.5% in chromite, 11.6% in crude ore, in ground;kilogram;ef6dd09f-bddc-49b4-a207-dbaec2f07bb5;biosphere3
('water', 'ground-');emission;[];Nitrogen;kilogram;0c150bb4-fd1a-43f8-b6c9-5dfda8dadb6c;biosphere3
('water', 'ocean');emission;[];Tellurium-123m;kilo Becquerel;03bd55c6-c37d-4205-aaa2-3c1f3759a0cd;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Terpenes;kilogram;10b69d7a-018d-44c6-9a5e-e67fc9475b86;biosphere3
('natural resource', 'in air');natural resource;[];Xenon, in air;kilogram;c52e8414-f232-4c6a-bff2-5726189789ee;biosphere3
('water', 'ground-');emission;[];4-Methyl-2-pentanone;kilogram;b9fbef13-2fbf-4783-b7ff-b2ecabf2a55c;biosphere3
('soil', 'agricultural');emission;[];Azoxystrobin;kilogram;e69b028e-e549-4869-ae4a-b85ef8bcb7a9;biosphere3
('water',);emission;[];Phthalate, dioctyl-;kilogram;d86d9085-975a-4212-9553-8bde88eb3c9f;biosphere3
('air', 'low population density, long-term');emission;[];Nitrobenzene;kilogram;c4db66cb-0449-4c8c-ab90-efc3329e62df;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];2-Methyl-2-butene;kilogram;f9501098-4a8e-4cd1-98b7-00afbac477a4;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Iodine-129;kilo Becquerel;0bd4b5ea-feb6-47d4-a657-c5b33b26fded;biosphere3
('soil', 'agricultural');emission;[];Metribuzin;kilogram;171aebab-b5e0-493f-8776-43e1a694666f;biosphere3
('soil', 'agricultural');emission;[];Beryllium;kilogram;162b7095-c497-4b3c-a290-01ebe4bc9a08;biosphere3
('air', 'urban air close to ground');emission;[];Manganese;kilogram;b0546417-3064-4878-bd6f-2da75cefdf63;biosphere3
('air', 'low population density, long-term');emission;[];Methyl ethyl ketone;kilogram;a93012b9-5223-4716-842b-23d4bb53119f;biosphere3
('water', 'ocean');emission;[];BOD5, Biological Oxygen Demand;kilogram;f012d2d5-ebb4-4531-8285-0b98af3dcbd4;biosphere3
('air', 'low population density, long-term');emission;[];Ethane, 1,1-dichloro-1-fluoro-, HCFC-141b;kilogram;b018c97d-8fea-4258-b4d3-6a65669c77f4;biosphere3
('air',);emission;[];Toluene, 2-chloro;kilogram;53578c58-7cd6-4623-9dd5-2c275bdc9f38;biosphere3
('air', 'urban air close to ground');emission;[];Platinum;kilogram;e4ad89a2-c1d3-4d0b-ad44-2a7ff00b1f39;biosphere3
('water', 'ocean');emission;[];Silicon;kilogram;5fefa2d0-133d-444f-b1fe-596d15f4673e;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Beryllium;kilogram;a2b3bbb7-53ec-44e5-a184-9689f356235b;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;kilogram;16fcd4f9-0bb8-4b84-8334-3ffb1a17aa74;biosphere3
('water',);emission;[];o-Xylene;kilogram;1b279330-0469-4d04-9fe2-4e9a38011f0c;biosphere3
('water', 'surface water');emission;[];Potassium, ion;kilogram;1653bf60-f682-4088-b02d-6dc44eae2786;biosphere3
('soil', 'agricultural');emission;[];Methoxyfenozide;kilogram;7b34b63f-b1a0-4b25-ae5e-dc1368b4512a;biosphere3
('water',);emission;[];Nickel, ion;kilogram;6ec6cdaa-5a01-46d4-b716-1905e56690ea;biosphere3
('water',);emission;[];Methyl amine;kilogram;d3ac53b1-17d5-40e7-b51d-422e16316404;biosphere3
('air', 'low population density, long-term');emission;[];Phosphorus trichloride;kilogram;95886a55-63a7-4e2e-8120-6cd2e6afbbfc;biosphere3
('air',);emission;[];Water;cubic meter;075e433b-4be4-448e-9510-9a5029c1ce94;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Propiconazole;kilogram;06699be8-f522-427e-89b5-8ad948a39ecb;biosphere3
('air', 'low population density, long-term');emission;[];Calcium;kilogram;cac53ea3-b11c-47a6-adfd-678672a088e6;biosphere3
('water', 'surface water');emission;[];Dichlorprop;kilogram;bb472a88-f118-4e3c-9305-3f206aaa8a41;biosphere3
('water', 'ground-, long-term');emission;[];Lactic acid;kilogram;2169a4c1-3198-48ed-92f4-4fa22ed44739;biosphere3
('soil',);emission;[];Barium;kilogram;99cd88f6-16b7-4b28-895c-2f42101f634b;biosphere3
('water', 'ground-, long-term');emission;[];Antimony;kilogram;83cf77ca-867b-4eef-b0f0-78d71b3d91d5;biosphere3
('water', 'surface water');emission;[];Phenol;kilogram;64836dd0-8b0f-41ba-a7d3-be54358fc4b3;biosphere3
('water', 'ground-, long-term');emission;[];Yttrium-90;kilo Becquerel;a4dad48e-2ce0-4ff0-a18d-8a01adb0eb7c;biosphere3
('water', 'ground-');emission;[];Phenol;kilogram;28febdb5-59ae-41c3-8709-43edb165f74e;biosphere3
('air', 'urban air close to ground');emission;[];Antimony-125;kilo Becquerel;33d0fe96-541c-4ac2-9dd6-51b44dc39676;biosphere3
('water', 'ocean');emission;[];Arsenic, ion;kilogram;d70b4182-d633-4178-84c0-8854f5f6594b;biosphere3
('water', 'ground-');emission;[];1-Pentene;kilogram;7a41be00-7040-4097-99be-a8085e86bf5e;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Permethrin;kilogram;77fc7d6f-d243-428d-a4f1-19e08364e9da;biosphere3
('air', 'low population density, long-term');emission;[];Monoethanolamine;kilogram;7d0a70b2-a645-49a1-baa2-26b1c782f17c;biosphere3
('natural resource', 'in ground');natural resource;[];Gold, Au 7.1E-4%, in ore, in ground;kilogram;d28f9d42-5df5-41c3-be59-fdfa7ff57112;biosphere3
('water', 'ground-');emission;[];Methyl formate;kilogram;c1624070-6619-4143-b63e-1ec82d65ad23;biosphere3
('air', 'low population density, long-term');emission;[];Uranium-235;kilo Becquerel;e61a0e03-2c01-4895-89af-4702b1f53480;biosphere3
('water', 'ocean');emission;[];Copper, ion;kilogram;d8f9ccf6-fd32-4348-83c0-1cee724af9ae;biosphere3
('water', 'ocean');emission;[];Thorium-230;kilo Becquerel;d8688397-6dfd-4144-8137-0130e62f9079;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Ruthenium-106;kilo Becquerel;60152e95-1e70-4a32-907e-34c13cc3c616;biosphere3
('water', 'ocean');emission;[];Ethylamine;kilogram;848c080f-be82-441d-9474-a53226288309;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Methane, tetrachloro-, R-10;kilogram;0f9f3e17-eb81-4adb-8170-049bc6b66728;biosphere3
('air', 'urban air close to ground');emission;[];Methane, non-fossil;kilogram;baf58fc9-573c-419c-8c16-831ac03203b9;biosphere3
('soil', 'agricultural');emission;[];Tebufenozide;kilogram;f5a070c3-4239-4130-b224-130f18b50ada;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Fluazifop-p-butyl;kilogram;3563bb9d-4020-4635-890b-6de95036911f;biosphere3
('water',);emission;[];Allyl chloride;kilogram;921ddc9c-6898-4ad0-a00d-7c9add941c85;biosphere3
('water', 'ground-, long-term');emission;[];DOC, Dissolved Organic Carbon;kilogram;725c7923-0ed8-43e5-b485-fad7e34bef08;biosphere3
('water', 'ocean');emission;[];Sulfur;kilogram;871b6f07-de14-48d4-b4aa-7745872c7e9a;biosphere3
('water', 'surface water');emission;[];Copper, ion;kilogram;6d9550e2-e670-44c1-bad8-c0c4975ffca7;biosphere3
('air',);emission;[];Curium-244;kilo Becquerel;8c64a7e7-0f81-410f-a0df-cbea124dd203;biosphere3
('soil', 'agricultural');emission;[];Flumetsulam;kilogram;e401b1cf-f424-4837-a5f0-410514498b58;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];4-Methyl-2-pentanone;kilogram;a6dd536a-5443-4c23-bb5e-60f0fa68af13;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Ethane, 1,1,1,2-tetrafluoro-, HFC-134a;kilogram;75fe1a2c-49fa-49e4-90f1-8f102508a96d;biosphere3
('soil', 'agricultural');emission;[];Chromium VI;kilogram;8ec83662-7c2b-4452-8acf-95a0bb94233c;biosphere3
('air', 'urban air close to ground');emission;[];Trichlorosilane;kilogram;68824a06-2815-4202-9f12-efec86f8df89;biosphere3
('water', 'ground-');emission;[];Acetic acid;kilogram;78a0fa8b-3e30-45c2-ad50-290c3b608c84;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Phosphoric acid;kilogram;13d2fabe-9282-4905-9dfc-5c859022835c;biosphere3
('water',);emission;[];Methane, dichlorofluoro-, HCFC-21;kilogram;2460ff3a-b368-4224-9c0d-0900fd29608f;biosphere3
('natural resource', 'in ground');natural resource;[];Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore, in ground;kilogram;4f5aad55-54d2-4628-a509-b28ef1929bb4;biosphere3
('water', 'ocean');emission;[];Sulfite;kilogram;ebadae73-f4ff-4594-8241-0fafa5f972d2;biosphere3
('air', 'low population density, long-term');emission;[];Butanol;kilogram;f202452b-5aff-45e6-9001-5fb0a2de7992;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Xylene;kilogram;6da40876-a6ab-459e-ba17-9a5e3d4da146;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Hydrogen sulfide;kilogram;0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Uranium-234;kilo Becquerel;ac98d2a4-4985-49f9-b4e2-fc896ef145b6;biosphere3
('soil', 'agricultural');emission;[];Fenpropathrin;kilogram;88575e69-d9c0-40be-ba7d-39073b7e621e;biosphere3
('water', 'ground-, long-term');emission;[];Potassium-40;kilo Becquerel;d566d1cb-8e97-40a2-84a1-98f558ecd941;biosphere3
('soil', 'agricultural');emission;[];Herbicides, unspecified;kilogram;41625ba3-8bf4-4d2a-b634-fddcdf622282;biosphere3
('air',);emission;[];Ethene, chloro-;kilogram;2a51889e-9264-45df-9753-64c25a755d9e;biosphere3
('soil', 'agricultural');emission;[];Sulfuric acid;kilogram;9bb73c31-c01d-4384-b567-15c1544ae581;biosphere3
('soil', 'agricultural');emission;[];Acrinathrin;kilogram;90ba480e-f2f2-4ee8-8299-da906df00058;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Formamide;kilogram;43a00521-4880-4891-8a5d-f8e0a64f5bce;biosphere3
('air', 'low population density, long-term');emission;[];Methane, bromo-, Halon 1001;kilogram;09e231fa-b1c2-4d63-9c57-7ea0e2210858;biosphere3
('air', 'low population density, long-term');emission;[];1,4-Butanediol;kilogram;d21da01e-f96f-4db5-9746-7b70db8a1f2c;biosphere3
('air', 'urban air close to ground');emission;[];Ethane, 1,2-dichloro-;kilogram;468bebea-17ee-49d3-b11d-c603d91c67c8;biosphere3
('water', 'ground-');emission;[];Krypton-85;kilo Becquerel;b8c4cd64-27cd-43ca-ac5e-011ebdbee7ec;biosphere3
('natural resource', 'land');natural resource;[];Occupation, cropland fallow (non-use);square meter-year;5d615a38-6d0a-4f3a-8973-69b333b6e814;biosphere3
('soil', 'agricultural');emission;[];Thallium;kilogram;57a17022-7f17-4cdf-b0e8-184bc5c50d98;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Aerosols, radioactive, unspecified;kilo Becquerel;72958cbe-6609-46c2-bbfa-ee4ab826ca12;biosphere3
('water', 'surface water');emission;[];Cerium-144;kilo Becquerel;6f020607-b818-408d-a4b0-2c6465a6826d;biosphere3
('air', 'urban air close to ground');emission;[];Propane;kilogram;98c66fdb-091d-46e9-a533-686f821e8f6a;biosphere3
('water',);emission;[];Arsenic, ion;kilogram;e1bd008f-c3c2-47f1-ab60-35e1a842acc0;biosphere3
('water', 'surface water');emission;[];Carbonate;kilogram;2c931139-2463-4abd-9dc0-3523477499db;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Sulfur dioxide;kilogram;78c3efe4-421c-4d30-82e4-b97ac5124993;biosphere3
('air',);emission;[];Ethene, trichloro-;kilogram;3fa03c96-b976-4f0f-8089-220968515ee1;biosphere3
('air', 'low population density, long-term');emission;[];o-Xylene;kilogram;8a4e7925-a486-467c-a255-f8a1ec5040de;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Butene;kilogram;deec5cec-4d8d-492a-9b0c-eab92dd55af8;biosphere3
('water', 'ground-');emission;[];Carbaryl;kilogram;ea348137-f175-4ec7-a6a8-a4854260659a;biosphere3
('water', 'ground-, long-term');emission;[];Protactinium-234;kilo Becquerel;d1954c78-79d4-494e-9a96-39e8c2215fc9;biosphere3
('water',);emission;[];Chlorine;kilogram;e8641a14-fd07-4090-8daf-2cce2a557a81;biosphere3
('water', 'ground-');emission;[];Dichlorprop;kilogram;d22d803d-a281-4821-8a6c-e79b75641eae;biosphere3
('natural resource', 'land');natural resource;[];Occupation, field margin/hedgerow;square meter-year;8222627a-0ca1-4632-894c-94d0e21064a1;biosphere3
('soil', 'agricultural');emission;[];Silicon;kilogram;39f248d5-dd9b-4460-8f34-3415dc3f3e43;biosphere3
('air',);emission;[];Silver;kilogram;ebb88ef4-50ab-4e3b-9251-c5fcdf6b4768;biosphere3
('water', 'surface water');emission;[];Barium;kilogram;2c872773-0a29-4831-93b9-d49b116fa7d5;biosphere3
('water', 'ground-');emission;[];Chlorate;kilogram;b12d380e-4a5a-40a7-89da-76a6c3b97bd2;biosphere3
('air', 'urban air close to ground');emission;[];Thallium;kilogram;50deb561-3de9-4b25-9b61-1695ad2dd136;biosphere3
('air', 'urban air close to ground');emission;[];Ethane, 1,1-difluoro-, HFC-152a;kilogram;393d0862-04cc-45ae-8d08-9dc2a4461b35;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Benzaldehyde;kilogram;4c08620f-1001-43b2-a42c-e02163ac41a3;biosphere3
('water', 'surface water');emission;[];Hydrocarbons, aromatic;kilogram;c308f812-7e5a-483a-ac1f-1f5742a53784;biosphere3
('air', 'urban air close to ground');emission;[];Dimethyl ether;kilogram;7c76ca96-5e7e-43be-aa71-a64627cdca23;biosphere3
('air', 'low population density, long-term');emission;[];Butane;kilogram;f4a1e10b-ed51-433e-a2f5-2a99f231a5e5;biosphere3
('air', 'low population density, long-term');emission;[];Benzene, ethyl-;kilogram;e4ef0139-8f7a-4541-a2fb-8316558eb296;biosphere3
('water', 'ground-, long-term');emission;[];Barite;kilogram;c975a4d6-eb2f-4607-9ddd-27577a37e3ba;biosphere3
('water', 'ocean');emission;[];o-Xylene;kilogram;9e3b8604-439e-426d-86e9-b6b296ed8e74;biosphere3
('soil', 'agricultural');emission;[];Cadmium;kilogram;e429b852-e421-4fcb-8a9b-b0241863bfb2;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Polychlorinated biphenyls;kilogram;64f98ce3-c7b4-4bfc-b398-c191824f26db;biosphere3
('air', 'low population density, long-term');emission;[];Barium-140;kilo Becquerel;cb7d14ab-f2f3-4dff-83a6-8803f7018301;biosphere3
('water', 'ocean');emission;[];Zinc, ion;kilogram;2195d86f-e4c8-4e86-9f18-b5b065b1df7e;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Potassium;kilogram;9597c1a2-ecda-4a89-97c5-efcdc679058d;biosphere3
('water', 'ground-, long-term');emission;[];Zinc, ion;kilogram;bdce3a7c-e008-4391-be26-285f71a02453;biosphere3
('water', 'ground-, long-term');emission;[];Chlorosilane, trimethyl-;kilogram;ae521be9-6534-4962-9183-3d36c4c74201;biosphere3
('air', 'urban air close to ground');emission;[];Chloroform;kilogram;4cadbc9f-0472-4bb9-a942-df5b90e37878;biosphere3
('natural resource', 'in ground');natural resource;[];Zirconium, 50% in zircon, 0.39% in crude ore, in ground;kilogram;fcee6eab-e906-4ddf-bc14-2b131b937893;biosphere3
('air',);emission;[];Antimony-125;kilo Becquerel;9314fbdb-a2c7-466b-bb6c-61c89f09df51;biosphere3
('natural resource', 'land');natural resource;[];Transformation, from dump site, inert material landfill;square meter;c1513682-45ad-444e-afb5-27c660714e88;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Ethyl cellulose;kilogram;0061b12a-9084-499b-9fc0-bf66025198eb;biosphere3
('water', 'surface water');emission;[];Strontium-90;kilo Becquerel;cebdf8ce-efe8-4218-a32c-612b14e352bb;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Heat, waste;megajoule;07f704a2-2746-4364-bcfd-606cefc30715;biosphere3
('water', 'ocean');emission;[];Chlorosulfonic acid;kilogram;20a718fc-d376-4ca0-a7d5-a45026c936ab;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Sodium;kilogram;3d719c07-ec27-4971-b7cc-4bcf17d77dd3;biosphere3
('water', 'ground-, long-term');emission;[];Diethylene glycol;kilogram;cd6866e7-6710-49cf-a2ea-d9be8950af14;biosphere3
('soil', 'agricultural');emission;[];Acetamiprid;kilogram;910b7532-d541-45a5-a535-03f54997726e;biosphere3
('air',);emission;[];Ruthenium-103;kilo Becquerel;d61e8791-f091-457a-8cb9-8d000d35e132;biosphere3
('air',);emission;[];Phosphine;kilogram;097cecfb-bed2-43a0-81b7-c153d0bb14b9;biosphere3
('air', 'low population density, long-term');emission;[];Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;kilogram;0bf92802-8b5e-43f5-a261-95c06bd5c551;biosphere3
('soil', 'agricultural');emission;[];Glufosinate ammonium;kilogram;52be5a94-fe48-4ec3-b694-44d08262bbad;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Furan;kilogram;142ce3b0-4bd6-47a3-9991-7c657c947ffe;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Acrylic acid;kilogram;f6b4242e-ea42-4d2e-b7c1-ba8e9ed2fbb0;biosphere3
('air',);emission;[];Cumene;kilogram;a192f5ac-fb5d-4e14-ac11-3c38283da9d0;biosphere3
('soil', 'agricultural');emission;[];Tri-allate;kilogram;c5c25aa6-d630-40bd-bed7-4e718c877ef4;biosphere3
('air', 'urban air close to ground');emission;[];Silicon tetrachloride;kilogram;55f0f584-45ca-4bc3-af11-098164f471e6;biosphere3
('water', 'ocean');emission;[];Cadmium-109;kilo Becquerel;392a6b72-ff68-44ab-9d43-84295ddc307b;biosphere3
('soil', 'forestry');emission;[];Nitrogen;kilogram;994129c0-37ba-464f-a222-a8231715dae2;biosphere3
('air', 'non-urban air or from high stacks');emission;[];2,4-D amines;kilogram;4f777e05-70f9-4a18-a406-d8232325073f;biosphere3
('air', 'urban air close to ground');emission;[];Protactinium-234;kilo Becquerel;f339e347-22f1-4ef5-9f25-647e3a9be91c;biosphere3
('water', 'ground-');emission;[];Rubidium;kilogram;92fab0ed-7e96-4b70-8e97-e9738f8bcce6;biosphere3
('soil', 'agricultural');emission;[];Prosulfocarb;kilogram;b4f381ed-345e-48eb-b85a-c8b3f4730af1;biosphere3
('natural resource', 'land');natural resource;[];Transformation, from pasture, man made, intensive;square meter;592bf69f-8551-4611-8942-4620be0adabe;biosphere3
('air', 'urban air close to ground');emission;[];Thorium-232;kilo Becquerel;e17ab5b1-0e70-409c-b7fd-0a01e6a26de3;biosphere3
('air', 'low population density, long-term');emission;[];Cobalt;kilogram;74eb3f02-09ec-46ce-8ee8-d67d0900136b;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Thorium-234;kilo Becquerel;80d316d2-631d-4642-8100-28aa63ec7a79;biosphere3
('soil',);emission;[];Chloride;kilogram;6c97741f-8760-4a39-9e90-b534ca137a36;biosphere3
('water', 'ground-');emission;[];Propylene oxide;kilogram;738d4e72-bfb8-44ca-8d2d-3fd67fdbf59a;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124;kilogram;9b7e5cbf-e1eb-420d-ad43-248df23457ee;biosphere3
('air', 'urban air close to ground');emission;[];Zinc;kilogram;748f22a9-eba4-4726-bef5-92c7442ce189;biosphere3
('water', 'surface water');emission;[];Methyl borate;kilogram;931f666b-6665-48a5-8fb0-7beced65c144;biosphere3
('soil', 'agricultural');emission;[];Silver;kilogram;fce0b9ae-53c8-4ab0-9e7a-7f5c2ed2c856;biosphere3
('water', 'ground-, long-term');emission;[];Cesium-136;kilo Becquerel;f577fd0b-1d06-40cb-9c9f-682d12b9515f;biosphere3
('water', 'ground-');emission;[];Tributyltin compounds;kilogram;2f885055-6517-4930-a649-dbf008f02910;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Fenoxaprop;kilogram;f28d5dfb-632d-469b-b0c2-a55ce78155ff;biosphere3
('soil', 'forestry');emission;[];Mercury;kilogram;c486d0f8-f2be-4c5e-b594-9fa5d6942f9e;biosphere3
('air', 'urban air close to ground');emission;[];Antimony;kilogram;3ea5684a-6d64-4f96-8c09-1d90f997c9d4;biosphere3
('soil', 'industrial');emission;[];Magnesium;kilogram;581ddcdf-82b7-4f87-83ee-761a44fea7f7;biosphere3
('water', 'ocean');emission;[];Hypochlorite;kilogram;d4f02ee2-ecb5-4572-91c8-c20cd2abb2c3;biosphere3
('water', 'ground-, long-term');emission;[];Cobalt;kilogram;1e904267-caa3-40e6-a3a0-fc104489770b;biosphere3
('soil', 'agricultural');emission;[];Arsenic;kilogram;4673a799-36a5-4359-ac6a-fa933281bc93;biosphere3
('water', 'ground-');emission;[];Paraffins;kilogram;13b07693-bf3c-4f08-8e21-a4a6b743106c;biosphere3
('water', 'surface water');emission;[];Iodine-129;kilo Becquerel;9e689d4d-35b4-4c1c-b61f-2d915695bd2a;biosphere3
('natural resource', 'land');natural resource;[];Transformation, from unspecified;square meter;29630a65-f38c-48a5-9744-c0121f586640;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Carbon monoxide, non-fossil;kilogram;968495ec-1000-438a-9e11-467776ebb54e;biosphere3
('water', 'surface water');emission;[];Methyl amine;kilogram;b1945566-c8ad-4d48-9135-c39eedde1e63;biosphere3
('water', 'ground-, long-term');emission;[];Sulfur;kilogram;8b31d489-c85c-4cd6-bd7b-fc5599acc168;biosphere3
('air',);emission;[];Ammonium carbonate;kilogram;c36f35d1-e815-4c85-8686-1a2d21264a2c;biosphere3
('water', 'ocean');emission;[];1-Pentanol;kilogram;8d28a5b3-1b1c-41e9-9eba-90c607aad7db;biosphere3
('air', 'low population density, long-term');emission;[];Heat, waste;megajoule;c377b25d-c52c-4b0f-aa2a-8c51ff1dab31;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Iron-59;kilo Becquerel;953f7c14-1ad1-47bd-b907-c4d359f2c599;biosphere3
('natural resource', 'land');natural resource;[];Transformation, from dump site, sanitary landfill;square meter;b79e26a0-88db-441f-b79b-508506e81b93;biosphere3
('natural resource', 'land');natural resource;[];Occupation, permanent crop, irrigated, intensive;square meter-year;3afbc2d8-1b51-4d43-87a7-e68291c1e999;biosphere3
('soil', 'agricultural');emission;[];Bentazone;kilogram;237ea455-6c82-4254-af86-9409df922094;biosphere3
('water',);emission;[];Chloramine;kilogram;60823a33-948a-4d5f-a07a-b9085202935d;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Methyl formate;kilogram;f4ce8a13-0159-48e3-a773-669d75e9fd78;biosphere3
('air', 'low population density, long-term');emission;[];Benzene;kilogram;8476d82a-4a17-4c08-8339-efd46c6518e7;biosphere3
('air',);emission;[];Thorium;kilogram;c93b5919-6b01-46c9-8510-cc94d1712168;biosphere3
('air', 'urban air close to ground');emission;[];Hydrocarbons, aromatic;kilogram;8b5d5c1d-c786-4367-94f0-fae42cd3ac0a;biosphere3
('water', 'surface water');emission;[];BOD5, Biological Oxygen Demand;kilogram;70d467b6-115e-43c5-add2-441de9411348;biosphere3
('air', 'low population density, long-term');emission;[];Cumene;kilogram;3b6e56fc-e148-44f1-b489-8c2ff91ebe81;biosphere3
('soil', 'agricultural');emission;[];Boron;kilogram;62399986-3e4f-4522-b389-75eed416d838;biosphere3
('air', 'low population density, long-term');emission;[];Nitrate;kilogram;205617ae-ebc5-4245-8df6-8710d5d40615;biosphere3
('water',);emission;[];Benzal chloride;kilogram;cb29369f-6e3a-42b2-868c-1da562585995;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Toluene;kilogram;77f17646-cede-4a49-99dd-55950098b077;biosphere3
('air', 'urban air close to ground');emission;[];Methane, from soil or biomass stock;kilogram;299c6564-426e-48c3-b516-fdf301d12127;biosphere3
('soil', 'agricultural');emission;[];Hexazinone;kilogram;3941d87e-6d5c-45d0-9fd5-16e3b948431c;biosphere3
('water',);emission;[];Cobalt;kilogram;33627701-feca-434d-a192-674a450eaaf7;biosphere3
('soil', 'agricultural');emission;[];Cloransulam-methyl;kilogram;d0431945-ea71-4257-9be6-78a849cd5440;biosphere3
('air',);emission;[];Methane, difluoro-, HFC-32;kilogram;151212b4-079b-43a2-96d5-a6eef59166ac;biosphere3
('soil', 'agricultural');emission;[];Fluometuron;kilogram;ff904733-0b42-4928-a984-b231b8ff1823;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Acrylonitrile;kilogram;9808cb2d-f1d8-41c2-9a8d-74d5092b27ec;biosphere3
('soil', 'forestry');emission;[];Vanadium;kilogram;689ffb9a-b596-4191-b458-2908dc2d075c;biosphere3
('natural resource', 'in ground');natural resource;[];Lanthanum, 7.2% in bastnasite, 0.72% in crude ore, in ground;kilogram;d61418f3-c1a4-4b95-807c-06b7e1fa2915;biosphere3
('air', 'urban air close to ground');emission;[];Thorium-234;kilo Becquerel;f27bfe65-f053-4d7b-8af3-aed2548dc8c1;biosphere3
('water',);emission;[];COD, Chemical Oxygen Demand;kilogram;961ccd56-2eee-4f57-bb18-fc4362b49000;biosphere3
