categories;type;exchanges;name;unit;code;database
('natural resource', 'land');natural resource;[];Transformation, to forest, unspecified;square meter;bba9f623-5919-4ef3-b98d-c94af1553179;biosphere3
('soil', 'agricultural');emission;[];Carbaryl;kilogram;cd08eddd-d946-40cf-b0b5-87f6dbd7eb21;biosphere3
('water', 'ground-, long-term');emission;[];Ethene, trichloro-;kilogram;c46a1f56-c012-4ee9-ae49-48641d0cdbf5;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Ethane, 2,2-dichloro-1,1,1-trifluoro-, HCFC-123;kilogram;2fff3bda-1eec-4166-9969-bc9e757c8e8e;biosphere3
('air', 'low population density, long-term');emission;[];Furan;kilogram;a5856dc0-2980-41cc-a93f-a1699fcf4890;biosphere3
('water', 'ground-, long-term');emission;[];t-Butylamine;kilogram;d0aaa60f-40d9-4c12-a486-954333aa549f;biosphere3
('water', 'ground-');emission;[];Iodine-131;kilo Becquerel;eea0ae1c-7a64-481c-a24d-fb6a3b8c5290;biosphere3
('water', 'surface water');emission;[];Bromate;kilogram;d1fd0de4-afa8-4385-b91b-023493b68782;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Aldehydes, unspecified;kilogram;ba1a3dcb-d53a-42fd-80f0-d09f3a12ffe2;biosphere3
('water', 'surface water');emission;[];COD, Chemical Oxygen Demand;kilogram;fc0b5c85-3b49-42c2-a3fd-db7e57b696e3;biosphere3
('air', 'low population density, long-term');emission;[];Uranium-238;kilo Becquerel;3c5a2d44-0206-427c-b34e-3b871077bd40;biosphere3
('water',);emission;[];Beryllium;kilogram;8d0ca1a5-6a40-4eda-861a-a0fccdc81b19;biosphere3
('water',);emission;[];Manganese;kilogram;10cbd2f7-c41b-4bb4-b636-d8fc15cf0282;biosphere3
('water', 'ground-');emission;[];Ammonium, ion;kilogram;736f52e8-9703-4076-8909-7ae80a7f8005;biosphere3
('water',);emission;[];Uranium-238;kilo Becquerel;71d27d29-04f2-421a-981f-5c5c2b00486f;biosphere3
('water', 'ground-');emission;[];Radioactive species, alpha emitters;kilo Becquerel;2e704527-1e5f-49d0-a2e9-e6d10d52d6e4;biosphere3
('water', 'ground-, long-term');emission;[];Phenol;kilogram;479008ad-0dce-46d5-8ba2-972633689864;biosphere3
('air',);emission;[];Carbon monoxide, non-fossil;kilogram;2cb2333c-1599-46cf-8435-3dffce627524;biosphere3
('air', 'low population density, long-term');emission;[];Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113;kilogram;d2025041-20ee-41bb-b2c8-47631e839ff0;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Ethylamine;kilogram;715d35c1-548c-43e2-a023-b31eba3a2849;biosphere3
('water', 'ground-, long-term');emission;[];Methanol;kilogram;5fb7cd0a-0c4c-43e2-8808-bf0102b93b49;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Radium-226;kilo Becquerel;d1679eda-eac2-4be4-876f-3be480c53dc4;biosphere3
('water',);emission;[];Acetonitrile;kilogram;cbaca555-e09c-4dc6-bdc3-60e6f8a784f9;biosphere3
('air', 'non-urban air or from high stacks');emission;[];Arsenic;kilogram;7348af7c-e102-4a03-a0df-efce16469eed;biosphere3
('water', 'surface water');emission;[];Cobalt-60;kilo Becquerel;0fc1db69-f50d-4a88-b9d8-1446e691063c;biosphere3
('water',);emission;[];Thorium-232;kilo Becquerel;de22459f-2b91-43a1-8c53-c89ddbe2c64c;biosphere3
('air', 'urban air close to ground');emission;[];Methane, tetrafluoro-, R-14;kilogram;dfe1da1e-7756-4f7e-a393-6d5e2342a962;biosphere3
('natural resource', 'in ground');natural resource;[];Gadolinium, 0.15% in bastnasite, 0.015% in crude ore, in ground;kilogram;b878ca93-d699-421e-a4b6-f694dc627062;biosphere3
('natural resource', 'land');natural resource;[];Transformation, to bare area (non-use);square meter;ac2c63cf-c657-4d33-bbc0-a5a9a1e29cf5;biosphere3
('air', 'lower stratosphere + upper troposphere');emission;[];Krypton-88;kilo Becquerel;7b836e07-985e-4962-8835-dc378299b12f;biosphere3
('air',);emission;[];Methane, bromotrifluoro-, Halon 1301;kilogram;4ac2ffc3-312e-4e2d-88c4-2630d4a73d8c;biosphere3
('water',);emission;[];Silver, ion;kilogram;6aa8673f-f7e3-4270-93dc-e97b745fced7;biosphere3
('water', 'ground-');emission;[];TOC, Total Organic Carbon;kilogram;73b225ab-ddc4-4a38-9ed0-ceedee987424;biosphere3
('water', 'ground-');emission;[];Lead-210;kilo Becquerel;85365e41-8102-4f9b-afb7-d7d7e6e07249;biosphere3
('water', 'surface water');emission;[];Dissolved solids;kilogram;cfecebe1-1e13-458d-85bc-d40a9f934927;biosphere3
